date | value
2014          -                 06           -             30 | 5
2014-06-30 efsdghercang sdfdsd  ymn | 5.5
                    2012-02-08| 999.9999
2012-02-08 | 1000.01
2012-02-08 | 1000.001
2024-01-01 | 1
2009-01-01 | 3
2009-01-02 | 3
2009-01-02 | a
2049-01-03 | 3
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | -1.3
2012-02-08 | 1.2
2011-02-29 | 3
2012-02-29 | 3
2021-04-31 | 3
2021-03-31 | 3
2011-01-a9 | 1
2011-a1-09 | 1
201a-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1001
2012-01-11 | 2147483648
